lA,backlight_control,for controlling the screen brightness.
M,neovim,for editing text based files.
M,firefox,browsing the web.
M,sxiv,for viewing images.
M,dunst,for getting notifications.
M,man-db,to read man pages.
M,unclutter,for hidding inactive mouse.
M,xorg-xwininfo,for querying information about windows.
M,xorg-server,as a graphical server
M,xorg-xinit,for starting the graphical server
M,xorg-xsetroot,used for displaying text in DWM bar (date)
M,picom,as a X compositor
M,zsh,the shell used by default
M,slock,for locking the screen
M,xwallpaper,for setting the background
M,openssh,for using ssh
M,x11-ssh-askpass,for allowing use of ssh keys from agent
A,zsh-fast-syntax-highlighting,syntax highlighting in ZSH
A,zsh-you-should-use,suggesting aliases in ZSH
G,https://github.com/bertmad3400/dwm.git,my build of DWM
G,https://github.com/bertmad3400/st.git,my build of ST
G,https://github.com/bertmad3400/dmenu.git,my build of DMENU
dC,https://github.com/joshumax/taralli.git;installScripts/taralli.sh,small program for wrapping the screen
